,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
TweetCount,0.04133073317509119,-0.02524985603939174,0.07264809871917016,0.060990176901116494,0.07781836321079218
URLAverage,-0.06220695647657705,-0.019024173743696797,-0.11133702983171265,-0.036648428563408206,-0.04159663489248554
UsernameAverage,-0.060542924161208524,0.005397952558523123,-0.008235106972540944,0.0029003956838915884,-0.11795716420195691
HashtagAverage,-0.04289018942270054,0.11809614220188218,-0.11724257303913624,-0.040181049164573254,-0.0009307703664048752
EmojiAverage,-0.034892805363085456,0.0904825671182693,-0.0541286361504433,0.07661496294259271,-0.07555054446296852
EmoticonAverage,-0.09155413696412851,0.006060939861218601,-0.014851586807354475,0.02869184271200224,-0.028669328568794002
WordAverage,-0.015587752618759252,-0.05953123276798732,-0.08373233324629238,-0.06673372816326496,-0.02851037269740852
CharacterAverage,-0.015352534585367896,-0.05394295703283157,-0.08325833877576604,-0.06666426947108506,-0.039607382874713784
UppercaseAverage,-0.023461338541093536,-0.07290075889987611,-0.008093757041155076,-0.05953737354269893,-0.03467291645802846
PunctuationAverage,-0.026639883908396337,0.005160891234686859,-0.09641206080872104,-0.04251626630018269,-0.0746863693707325
CharrepAverage,-0.05792192701811601,-0.024620274969168143,-0.07697411490352318,-0.02137676234980475,-0.05811829304389274
WordrepAverage,0.0063740304419863695,-0.034399165796496704,-0.037763300673202924,-0.008288239845435292,-0.060392236822952854
