,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
TweetCount,0.26905196251297014,0.49965053341129373,0.051839592336358035,0.10272266982070521,0.037227960088717614
URLAverage,0.09603000028309654,0.6110573227004468,0.002832630658889962,0.3271124324645305,0.26598116678370987
UsernameAverage,0.10527380804932,0.8852722186180464,0.8257704854052192,0.9382034106186643,0.0015558287283771687
HashtagAverage,0.25138640045388605,0.001535878154462408,0.0016622217988324038,0.2826081154650352,0.9801509799395637
EmojiAverage,0.35083362749890934,0.015368184339082965,0.14763735133242553,0.040272440506020815,0.043138415418280215
EmoticonAverage,0.014190410374761764,0.8712970062426125,0.6913624223557888,0.44302516009335247,0.44338324672462204
WordAverage,0.6769065852784234,0.1112295970869599,0.024953933470806707,0.07413283499399001,0.4459161250450665
CharacterAverage,0.6815128939530484,0.14903363021396754,0.02578873133486815,0.07443507239589595,0.2895422422008379
UppercaseAverage,0.5305208645495351,0.05102802473402178,0.8287143366502945,0.11119266237399092,0.35387952470982176
PunctuationAverage,0.47633219173323815,0.890278160579373,0.009790919217489534,0.25554676133576243,0.04559001086373752
CharrepAverage,0.12124665729725605,0.5104076502422092,0.03934250909574969,0.5676817218882237,0.11998792548869375
WordrepAverage,0.8647109602250581,0.3576947412386664,0.3126014898445137,0.8246645329705629,0.10614454385081452
